,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21
X1,1.0,0.8733420925875477,0.28616718426906873,-0.3514291311614721,-0.4850639908094664,0.2079215658439482,-0.4066597568382476,-0.5842042168860784,-0.6434962618195913,0.420047998336782,-0.40561563219500846,-0.4037636062454749,-0.3851017733407408,0.6063721665541348,-0.08105769366187283,0.06086888768259095,0.15003669848197043,0.6254435123820724,0.22013003827416414,0.16016106636771751,0.1460513180780938,-0.3992627890171864,-0.529215255680849,-0.4873106133611972,-0.14084876410650973,0.14889458898313224,-0.3760871874580559,-0.0021432947886894913,0.060442234219871695,0.05361518447353819,-0.07750424148880462,0.3403436119612708,0.22035473507234665,0.11080829022124151,0.2027937475917269,0.47573837446807593,0.36407149801108074,0.24896124165251324,0.3310728930496773,0.51936317926967,0.43409138092121924,0.33418021814423504
X2,0.8733420925875477,1.0,0.6929760151971931,-0.03333912138376949,-0.3473941674374998,0.4302740688015139,-0.11364565159962016,-0.29562792116709996,-0.3814033327995084,0.43419117984386263,-0.1956773544304092,-0.19835404050228053,-0.22273728083702637,0.3753915401936918,-0.14472197042851523,0.05457387455734585,0.12754933171485153,0.2738189424403059,-0.040192681863512644,-0.011089865852988403,-0.003087023792744292,-0.12575869115328625,-0.2993449444110939,-0.4170552580617733,-0.2755639906903645,-0.06921103105866246,-0.33870381972565194,-0.18022717188386164,-0.018095323203888826,0.034611040471584524,-0.10891397547489515,0.05364200385163891,0.040921955868940124,-0.0008666930718903659,0.12710365389523443,0.21901798071469694,0.22174144860826728,0.18845858517016503,0.2629343872320799,0.2948429476667329,0.2534371993694098,0.19939940049870175
X3,0.28616718426906873,0.6929760151971931,1.0,0.5879858222386992,0.15919286827910953,0.5250144762041321,0.32133674319276145,0.22179957251418164,0.1442891252263539,0.24965471244754298,0.17490587477231384,0.17777197264272068,0.10929074182597244,-0.11039043583376443,-0.1618880906954228,0.014997193034463414,0.031090151331729984,-0.3332558751357921,-0.4048678222077445,-0.29049477520744776,-0.26452626914263067,0.30081945101411856,0.1717370159886019,-0.0946814439996443,-0.31900346827263093,-0.32816741520336307,-0.1329812252340044,-0.338999533745507,-0.08187086548511191,0.02855516081866181,-0.09997077284120974,-0.3408696801966286,-0.1704056558455195,-0.10754660979914209,-0.03680046265881508,-0.22769097802728294,-0.07053676512230746,0.012820689356105046,0.0398053641927081,-0.17119349263337424,-0.15924374319901574,-0.14549130802070448
X4,-0.3514291311614721,-0.03333912138376949,0.5879858222386992,1.0,0.8658457285065164,-0.04126334401295504,0.16591563295362902,0.26952686618451976,0.3035449256361907,-0.3055319117481189,0.16527037609284478,0.30738927346402484,0.2976937720682693,-0.5193014045402689,-0.059317746008632384,0.07384743437951712,0.06045285659829494,-0.5558715503393404,-0.36146079007278636,-0.2731770039181512,-0.2717140000032116,0.28237998764826966,0.2905159081456368,0.15786071714578714,-0.1286386088192544,-0.2936639243743159,0.004767391250470331,-0.21353881909595804,0.03072880655330625,0.1265920559135695,-0.09195432753578212,-0.28948178007399245,-0.02244603541747882,0.078713246450639,-0.17653450647517568,-0.3394194881593035,-0.17835158224184555,-0.07542230896453099,-0.1984987007369173,-0.4108177660453881,-0.4267643229872893,-0.4138375302702988
X5,-0.4850639908094664,-0.3473941674374998,0.15919286827910953,0.8658457285065164,1.0,-0.36736804814516294,-0.07073362306079607,0.10170052303028998,0.190741235049838,-0.5104427090624046,0.0018810612879378518,0.19351581425879255,0.2361584554142488,-0.5304307821486568,-0.029193112711524406,0.07347795735397461,0.07700159559746504,-0.42609714023643097,-0.20975693422029626,-0.17428931126144503,-0.18760710149113868,0.12952876952854314,0.1848925180624772,0.16097711388362781,-0.017555758808975492,-0.18389268590942112,0.04191586684685398,-0.06709606604098486,0.08784122176545459,0.13938617183966076,-0.040545289777692214,-0.0866038230111056,0.14106284609053005,0.21602421622649362,-0.13845808459548936,-0.19570393330742206,-0.08991887950494921,-0.024380745856428507,-0.19426112778883373,-0.32014016315373456,-0.3586089204137814,-0.3676202996346511
X6,0.2079215658439482,0.4302740688015139,0.5250144762041321,-0.04126334401295504,-0.36736804814516294,1.0,0.7221332104301424,0.4475645025940736,0.2773852822725338,0.8660070157542504,0.44557457604345624,0.08154493703107307,-0.04329047917760858,0.40627752334433964,-0.07201067697307201,-0.2578002975587704,-0.27587571011953915,-0.03652619842545901,-0.340746558447115,-0.3758605509251249,-0.346179355310351,0.4388479033931341,0.3353638500344456,0.06676072173076816,-0.23481290117588866,-0.30747826786131466,0.16031109340562533,-0.18242554168665828,-0.1507370417372356,-0.11550821567980575,0.13630695656176384,-0.2682366609919786,-0.22070719679639325,-0.20826027609419095,0.11651194988650125,-0.1633122740297271,-0.026477947857223186,0.02030797918145702,0.12489621906305388,-0.08087552637764732,-0.019086291569369362,0.006119797118072634
X7,-0.4066597568382476,-0.11364565159962016,0.32133674319276145,0.16591563295362902,-0.07073362306079607,0.7221332104301424,1.0,0.9184841173484705,0.8078587005574133,0.45600021207496577,0.7671716506809944,0.4531724236400371,0.29876615316785055,-0.0546989043141952,0.12203268339650578,-0.12897321434566947,-0.2398761280515223,-0.4296848526188883,-0.3360351620356409,-0.32092499996204626,-0.308349448763335,0.6381862690639026,0.6101493548288042,0.3352111097875819,-0.13548300680891637,-0.3840261234337448,0.32184870513097846,-0.20002994317863584,-0.17820404920609687,-0.12036721847353776,0.09155945941722375,-0.5279603112332566,-0.4167550518733968,-0.3230005717852174,-0.09054799290761179,-0.4938679800299237,-0.3020065162559708,-0.17610276200179273,-0.13221295204162972,-0.409721064281017,-0.275744635358565,-0.16959867242328078
X8,-0.5842042168860784,-0.29562792116709996,0.22179957251418164,0.26952686618451976,0.10170052303028998,0.4475645025940736,0.9184841173484705,1.0,0.9722068231419386,0.1605629514356904,0.7513499795373393,0.5852953827365688,0.46234079646299936,-0.2783638624038506,0.15942195062187803,-0.019432254426774955,-0.1287521153459297,-0.5442116619721413,-0.30430394104105873,-0.2786475787916501,-0.2854037199738037,0.6133363999018279,0.6039756159910123,0.356811224333034,-0.09963628009423804,-0.36645305713850973,0.30643617197016043,-0.21090263643317747,-0.1641399803129261,-0.08760304465676892,0.04116751123261086,-0.6000501284190785,-0.47763009678096296,-0.3500178630143,-0.16440955948922487,-0.5889420371896089,-0.4206420505664081,-0.26850661318079855,-0.20692664635268856,-0.49863308545861634,-0.3770652810047728,-0.2526049656454492
X9,-0.6434962618195913,-0.3814033327995084,0.1442891252263539,0.3035449256361907,0.190741235049838,0.2773852822725338,0.8078587005574133,0.9722068231419386,1.0,-0.0014933632327438786,0.6781426549171768,0.5992364005249142,0.5116152400569585,-0.3753010700722575,0.14695748633962533,0.013638348774653638,-0.07524411248994382,-0.5675065080138293,-0.2858344860684454,-0.26665743891720317,-0.2806338676658084,0.5617344422558285,0.5618249567392855,0.3466828986201947,-0.0749801979261816,-0.3344374561682947,0.28771596868680027,-0.19385977231689383,-0.14037053143254458,-0.06241900215109358,0.02157429231381871,-0.5923357044445724,-0.47691392788263587,-0.34263678095728545,-0.1854740775582126,-0.5970727260256927,-0.457099754998074,-0.30269373867516514,-0.2291268712203505,-0.5137209296696826,-0.4153206170584405,-0.2941486199348226
X10,0.420047998336782,0.43419117984386263,0.24965471244754298,-0.3055319117481189,-0.5104427090624046,0.8660070157542504,0.45600021207496577,0.1605629514356904,-0.0014933632327438786,1.0,0.34718568379917386,-0.011769112608511054,-0.11373135379204038,0.8009109452216986,0.14905912224140572,-0.0829833020071429,-0.09762417092838066,0.4385639882273083,0.034928120222077086,-0.10126503632124347,-0.11263296635794702,0.16727357567626608,0.056610159435620054,-0.108336824472631,-0.22272498993810294,-0.18706235008765779,0.05685885555792893,-0.06794113516154864,-0.052246211530311906,-0.03714441340342106,0.12460275041671309,-0.04719117577887821,-0.08758313592860235,-0.12368919059196715,0.1661486803566777,0.03169478048560766,0.05612171977403852,0.03902225933352648,0.1777936723603438,0.0929870114071153,0.09218280347375078,0.06998843013493168
