Track Name,Artist,Artist Popularity,Artist Genres,Track Duration(ms),Release Date,Track Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_signature,Lyrics,Average1,Average2,Average3,Average4,Average5,Varience1,Varience2,Varience3,Varience4,Varience5,Standard Deviation1,Standard Deviation2,Standard Deviation3,Standard Deviation4,Standard Deviation5,Minimum1,Minimum2,Minimum3,Minimum4,Minimum5,Maximum1,Maximum2,Maximum3,Maximum4,Maximum5,Track Popularity Output,Artist Popularity Output
(It Goes Like) Nanana - Edit,Peggy Gou,69,"electra, float house",231545,2023-06-15,88,0.671,0.876,7,-5.681,0,0.0352,0.12,0.188,0.0823,0.964,129.998,4,"I can't explain, I got a feeling that I just
I can't erase, just a feeling that I won't
Won't leave behind, because it's something that is on
It's on my mind, I guess it goes, like na-na-na

Na-na-na-na-na, na-na-na-na-na
Na-na-na-na-na, na-na-na-na-na
Na-na-na-na-na, na-na-na-na-na
Na-na-na-na-na, na-na-na-na

I can't explain, I got a feeling that I just
I can't erase, just a feeling that I won't
Won't leave behind, because it's something that is on
...
",37.987656,64.04562,53.018883,55.546474,48.07736,896.67065,10256.972,4503.1455,2841.6868,1369.5983,29.94446,101.27671,67.105484,53.307472,37.008083,0.57706213,0.7856466,0.21622108,0.6535816,0.14133854,742.7894,1846.2258,1477.1046,1063.335,430.29745,88,69
02.02.99,That Mexican OT,71,texas latin rap,162162,2024-01-09,76,0.84,0.629,6,-6.629,0,0.291,0.152,0.0,0.154,0.564,148.125,4,"(Skelez, oh, my God)

Can't nobody tell me shit 'cause I got cutters, motherfucker
Bitch, I'm Virgil 'til I die, no, I can't be nobody other
Told my chopper that the only thing we got is just each other
I'm the type that need the walls up when they bowlin' 'cause I'm gutter (uh-huh, uh-huh)

I ain't fucked your sister, bitch, I'm just a motherfucker
Nah, I'm lyin', I knocked her ass down too and we got in lots of trouble, ugh

""Fuck Mexican OT and fuck his raps, he's just a bitch""
Ho, I'm Virgil 'til I die, and, oh, yes, sir, I'm with the shits (fah, fah, fah, fah)
On 288, swingin' elbows like I'm in the UFC
My chopper got a mind of its own, so if it shoot, it ain't on me

I stay after F because I'm a G
Bad bitch with me, she stay on fleek
Miami Heat, up and shoot, shoot a three
Call my chopper ""Kick"" because it knock out a knee

...
",44.173473,83.27646,54.688786,45.5436,39.980904,1080.4525,7135.772,3283.6472,1201.4504,706.5631,32.87024,84.473495,57.303116,34.661945,26.581255,1.0617175,0.95017225,0.124587856,0.16114965,0.6065492,470.1858,1975.6517,1346.8312,762.6024,546.28326,,
1st of Tha Month,Bone Thugs-N-Harmony,65,"gangster rap, hardcore hip hop, hip hop, ohio hip hop, rap",314680,1995-07-25,69,0.729,0.581,5,-8.235,0,0.18,0.0777,3.81e-06,0.696,0.508,74.038,4,"Wake up, wake up, wake up, wake up, wake up (it's the first of the month)
So get up, get up, get up, get up, get up (so cash your checks and come up)
Wake up, wake up, wake up, wake up, wake up (it's the first of the month)
So get up, get up, get up, get up, get up (so cash your checks and come up)
Wake up, wake up, wake up, wake up, wake up (it's the first of the month)
So get up, get up, get up, get up, get up (so cash your checks and come up)
Wake up, wake up, wake up, wake up, wake up (it's the first of the month)
So get up, get up, get up, get up, get up (so cash your checks and come up)

Hey, my niggas, we havin' a wonderful day
And I won't fuck with me, why? 'Cause it's the first of the month
And now we smokin', jokin', rollin' blunts and sippin' on 40 ounces, thuggin'
Come, come, we've got the blunts and rum, from jumpin' all nights, we high
Hit up the block to where? East 99
I get with my nigga to get me some yayo, double up, ""Nigga, what you need?""

""We got weed to get P-O-D'd, fiend for the green leaves""
Double up for the first, fo' sho' better lay low, 'cause the po-po creep when they roll slow
If you can't get away, better toss that yayo, keep your bankroll
Yeah, we havin' a celebration, love to stay high
And you better believe when it's time to grind
I'm down for mine, crime after crime
Fin to creep to the pad 'cause moms got the grub on the grill
And we got the 4-0, you know it's the first of the month and my nigga, we chills for real

Wake up, wake up, wake up, wake up, wake up (it's the first of the month)
So get up, get up, get up, get up, get up (so cash your checks and come up)
Wake up, wake up, wake up, wake up, wake up (it's the first of the month)
So get up, get up, get up, get up, get up (so cash your checks and come up)
Wake up, wake up, wake up, wake up, wake up (it's the first of the month)
So get up, get up, get up, get up, get up (so cash your checks and come up)
Wake up, wake up, wake up, wake up, wake up (it's the first of the month)
So get up, get up, get up, get up, get up (so cash your checks and come up)

Wake up, and I see that my sister was already dressed
She said, ""I'ma run and go get my stamps""
""Watch and make sure no one snatches my check""
...
",17.730213,37.629124,24.630821,29.393013,23.779217,206.71313,1927.4573,422.13446,470.96643,200.21896,14.3775215,43.902817,20.545912,21.701761,14.149875,0.08705017,0.25799724,0.28560236,0.23735231,0.34002385,547.3919,806.96655,332.6689,205.38692,140.35155,,
2016,Sam Hunt,68,"contemporary country, country, country pop, modern country rock",235053,2020-04-03,54,0.52,0.384,6,-8.168,1,0.0362,0.596,0.0,0.103,0.328,149.536,5,"I'd put the whiskey back in the bottle
Put the smoke back in the joint
Look up at the sky and say
""Okay, okay, okay, think you made your point""
I'd cover up the pool at Skymont
I'd take some girls out of my phone
Give the nightlife back to Nashville
One night at a time 'til all the regret's gone

And I'd drive a thousand miles to your house
Walk in like I walked out
Put the tears back in your eyes
'Cause all my lies could still come true
I'd tell you everything was alright
And hold you, baby, all night

When your heart was all patched up
And our love was good as new
I'd take 2016
And give it back to you
...
",34.521793,44.518055,40.91661,39.926514,42.99964,511.55908,761.0405,576.0484,498.12875,673.95166,22.617672,27.586964,24.001009,22.318798,25.960579,0.20574611,0.1861017,0.6860983,0.7289527,0.15256464,214.61853,257.36044,226.47835,174.66171,215.21713,,
23,Chayce Beckham,61,modern country pop,228144,2021-05-14,82,0.626,0.583,0,-7.346,0,0.0318,0.276,0.0,0.141,0.428,87.977,4,"Simple as my mama said when I was very young
She told me not to worry son
One day, you'll be someone
But here I am at 21
As loaded as a stagecoach shotgun
I'm sorry mama
Please don't look at me

When I got to Oklahoma I was 17
My papa taught me how to work and Lord, he was mean
Working all day in that August heat
He taught me how to fish
My uncle taught me how to drink

Well, I went California and I had me a band
And we played in all the bars in all the southern lands
We played all night, and we drank for free
...
",42.68772,65.537346,59.88293,58.899662,55.013527,549.89484,3956.036,2624.4062,1383.8394,1206.9258,23.449837,62.897026,51.22896,37.199993,34.740837,0.29867306,0.61984336,0.08097021,0.66007555,0.37756017,185.25354,1338.2964,768.20624,578.8438,364.90048,,
24's (Vocals Only),T.I.,74,"atl hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap",282906,2003-08-18,59,0.739,0.725,6,-4.301,1,0.203,0.227,0.0,0.0991,0.582,162.06,4,"Yeah
For all my real ATL niggas, that's right
This the dope boy anthem
Come on

Money, hoes, cars and clothes
That's how all my niggas roll
Blowing dro on 24's
That's how all my niggas roll
Money, hoes, cars and clothes
That's how all my niggas roll
Blowing dro on 24's
That's how all my niggas roll

I'm in a drop-top Chevy with the roof wide open
My partners looking at me to see if my eyes open
'Cause I've been dranking and I've been smoking
And flying down 285 but I'm focused
It's a 454 SS, I race Porsches
White leather seats, as fresh as Air Forces
Doing 'bout a hundred but the track still bumping
Number 8 on N.W.A, ""Straight Outta Compton""
Pull up at your apartment sitting on 20 somethings
And the dope boys hollering ""What's happening?"" kid running in
The cliques start dancing and the broads start choosing
And the cars been parked but the rims keep moving
Sign pictures, buy an onion of good and throw the deuces
Cause I ain't Hollywood, I come from the hood, I'm used to it
If your rear view shaking and your seats vibrating
24 inch Dayton's got the Chevrolet skatin' makin'

Money, hoes, cars and clothes
That's how all my niggas roll
Blowing dro on 24's
That's how all my niggas roll
...
",49.71454,92.56437,68.0049,54.264603,52.227043,1536.2236,6231.8438,2744.627,1377.1368,1207.7928,39.19469,78.942024,52.389187,37.109795,34.753315,0.4289524,0.4689814,0.3702409,0.91086084,0.3879942,725.6095,928.5717,954.09235,723.8901,624.5907,,
24K Magic,Bruno Mars,88,"dance pop, pop",225983,2016-11-17,83,0.818,0.803,1,-4.282,1,0.0797,0.034,0.0,0.153,0.632,106.97,4,"Tonight
I just want to take you higher
Throw your hands up in the sky
Let's set this party off right

Players, put your pinky rings up to the moon
Girls, what y'all trying to do?
24 karat magic in the air
Head to toe so player
Uh, look out!

Pop pop, it's show time (show time)
Show time (show time)
Guess who's back again?
Oh, they don't know? (Go on, tell 'em)
Oh, they don't know? (Go on, tell 'em)
I bet they know soon as we walk in (sho'nuff)
Wearing Cuban links (yeah)
Designer minks (yeah)
Inglewood's finest shoes (whoop, whoop)
Don't look too hard, might hurt yourself
Known to give the colour red the blues

Ooh, shit
I'm a dangerous man with some money in my pocket
(Keep up)
So many pretty girls around me, and they waking up the rocket
(Keep up)
Why you mad? Fix your face
Ain't my fault that y'all be jocking (keep up)

...
",70.27508,123.99877,85.56151,76.902336,70.0228,2370.0571,27667.438,4685.763,4613.003,2665.9417,48.68323,166.33531,68.45264,67.91909,51.63276,0.6770908,0.6169887,1.0352582,0.15242967,1.009653,1830.2755,5874.4355,1901.9033,1758.847,1497.6147,,
28 (with Dean Lewis),Ruth B.,72,"alt z, canadian contemporary r&b, canadian pop, pop",208293,2023-11-10,74,0.464,0.331,0,-6.336,1,0.0294,0.794,0.0,0.11,0.513,77.307,4,"Put you first just like you wanted
Gave you me, you took for granted
Now here I am at 28

All my friends, I hardly know 'em
I don't sing 'cause you're still broken
I almost threw it all away

How did we go from movies on Tuesdays
To all our memories packed in a suitcase?
Carried the weight for you for far too long

Even though I loved you, you know I had to leave
I guess I had to lose you on the way to finding me
'Cause they say time heals all wounds, but your wounds cut so deep
...
",63.147358,63.65608,68.4673,66.92016,67.323235,8569.209,4776.179,2106.836,2092.9336,2178.3242,92.57002,69.10991,45.900284,45.748592,46.67252,0.16126272,0.61142004,0.3707201,0.70184165,1.0596306,1344.5923,1306.3427,408.804,436.866,457.5935,,
29,Demi Lovato,77,"pop, post-teen pop",163027,2022-08-17,58,0.322,0.698,1,-3.812,0,0.0542,0.00507,0.0,0.249,0.288,183.963,4,"Petal on the vine, too young to drink wine
Just five years a bleeder, student and a teacher
Far from innocent, what the fuck's consent?
Numbers told you not to, but that didn't stop you

Finally twenty-nine
Funny, just like you were at the time
Thought it was a teenage dream, just a fantasy
But was it yours or was it mine?
Seventeen, twenty-nine

Oh-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh
Seventeen, twenty-nine
...
",64.00849,87.485054,64.12764,56.51731,57.383533,4023.0017,6304.7456,1608.7284,1090.3602,1087.5934,63.427135,79.40243,40.108955,33.020603,32.97868,0.42204687,0.90493625,1.2262536,0.8545742,0.63363326,991.1069,999.1612,626.805,274.3565,256.1837,,
3 Nights,Dominic Fike,76,"alternative pop rock, pov: indie",177666,2018-10-16,77,0.815,0.518,7,-6.594,0,0.0897,0.223,0.0,0.104,0.877,151.891,4,"Three nights at the motel
Under streetlights
In the city of palms
Call me what you want, when you want, if you want
And you can call me names if you call me up

Three nights at the motel
Under streetlights
In the city of palms
Call me what you want, when you want, if you want
And you can call me names if you call me up

Feel like the least of all your problems
You can reach me if you wanna stay up tonight
Stay up at night
Green lights in your body language
Seems like you could use a little

Company from me
But if you got everything
Figured out like you say
Don't waste a minute
Don't wait a minute

It's only a matter of time
...
",36.885082,68.41127,47.182587,46.47143,52.841076,685.0374,7862.494,2589.7878,1366.6941,1953.5153,26.17322,88.67071,50.889957,36.968826,44.19859,0.027504994,0.18102624,0.08425981,0.38684914,0.2620073,548.9495,2169.931,1129.9373,724.36,989.1706,,
